Ticker,Company Name,Date,Price,Open,High,Low,Vol.,Change %
AGX,Argan Inc,9/29/2025,271.07,272.82,279,267.14,347.03K,1.63%
AGX,Argan Inc,9/30/2025,270.05,272.25,273.18,263.8,277.79K,-0.38%
AGX,Argan Inc,10/1/2025,279.62,266.99,279.95,264.01,318.90K,3.54%
AGX,Argan Inc,10/2/2025,271.34,280,283.35,263.63,316.51K,-2.96%
AGX,Argan Inc,10/3/2025,262.26,273,273,261,260.44K,-3.35%
AGX,Argan Inc,10/6/2025,263.53,266.77,272.48,262,233.79K,0.48%
AGX,Argan Inc,10/7/2025,268.53,265.99,268.99,259.41,174.34K,1.90%
AGX,Argan Inc,10/8/2025,281.67,270.92,282.2,269.24,271.66K,4.89%
AGX,Argan Inc,10/9/2025,270.09,280.49,281.36,267.51,339.24K,-4.11%
AGX,Argan Inc,10/10/2025,256.15,276.84,279.69,255.6,349.69K,-5.16%
AGX,Argan Inc,10/13/2025,294.72,271.4,295.04,271.4,470.24K,15.06%
AGX,Argan Inc,10/14/2025,300.72,287.49,301.31,283.29,463.97K,2.04%
AGX,Argan Inc,10/15/2025,312.5,307.67,313.5,302.98,433.84K,3.92%
AGX,Argan Inc,10/16/2025,296.39,317.02,320,295.21,393.96K,-5.16%
AGX,Argan Inc,10/17/2025,283.94,293.39,299.3,278.17,404.53K,-4.20%
AGX,Argan Inc,10/20/2025,290.27,290,300.5,288,262.38K,2.23%
AGX,Argan Inc,10/21/2025,281,286.11,287.1,271,438.95K,-3.19%
AGX,Argan Inc,10/22/2025,267.62,283.03,283.03,257.62,592.38K,-4.76%
AGX,Argan Inc,10/23/2025,276.12,267.57,278,267.57,225.75K,3.18%
AGX,Argan Inc,10/24/2025,296.55,283.82,300.91,283.27,336.10K,7.40%
AGX,Argan Inc,10/27/2025,294.99,300.52,302.24,292.52,228.55K,-0.53%
AGX,Argan Inc,10/28/2025,292.46,295.43,296.79,286.46,207.26K,-0.86%
AGX,Argan Inc,10/29/2025,292.22,295.24,301,291.31,405.51K,-0.08%
AGX,Argan Inc,10/30/2025,298.33,286.84,298.76,280.65,368.19K,2.09%
AGX,Argan Inc,10/31/2025,306.21,307.06,316.4,299.46,408.41K,2.64%
AGX,Argan Inc,11/3/2025,310.41,308.8,311.35,302,220.97K,1.37%
AGX,Argan Inc,11/4/2025,303.2,303.88,307.23,290,181.34K,-2.32%
AGX,Argan Inc,11/5/2025,324.93,303.38,331.01,303.38,323.40K,7.17%
AGX,Argan Inc,11/6/2025,311.38,324,324,309.01,192.79K,-4.17%
AGX,Argan Inc,11/7/2025,311.58,305,318.51,290.04,365.41K,0.06%
AGX,Argan Inc,11/10/2025,335.96,327.5,340.23,325,349.84K,7.82%
AGX,Argan Inc,11/11/2025,347.88,333.32,349.22,330,277.40K,3.55%
AGX,Argan Inc,11/12/2025,364.78,354,365.09,336.89,374.59K,4.86%
AGX,Argan Inc,11/13/2025,335.1,360.19,364.73,332.51,493.64K,-8.14%
AGX,Argan Inc,11/14/2025,351.64,323.89,355.42,318.5,353.88K,4.94%
AGX,Argan Inc,11/17/2025,346.35,351.86,364.59,341.3,237.59K,-1.50%
AGX,Argan Inc,11/18/2025,344.36,341,353.45,338.57,324.82K,-0.57%
AGX,Argan Inc,11/19/2025,358.72,351.1,366.46,347.5,332.64K,4.17%
AGX,Argan Inc,11/20/2025,353.3,373.38,399.3,350.71,634.58K,-1.51%
AGX,Argan Inc,11/21/2025,335.33,345,353.58,322.22,474.89K,-5.09%
AGX,Argan Inc,11/24/2025,371.95,342.31,384.35,342.31,494.81K,10.92%
AGX,Argan Inc,11/25/2025,373.29,367.47,374.69,360,208.37K,0.36%
AGX,Argan Inc,11/26/2025,380.62,375.15,388.61,363.35,434.84K,1.96%
AGX,Argan Inc,11/28/2025,395.2,384.99,396.54,380.91,127.65K,3.83%
AGX,Argan Inc,12/1/2025,363.73,370.66,374.3,356.39,479.07K,-7.96%
AGX,Argan Inc,12/2/2025,357.48,365.76,373.17,355.17,349.10K,-1.72%
AGX,Argan Inc,12/3/2025,351.09,355.98,359.05,343.01,410.54K,-1.79%
AGX,Argan Inc,12/4/2025,356.39,348.74,368.2,347.67,626.29K,1.51%
AGX,Argan Inc,12/5/2025,313.7,296.81,316.73,276.28,1.34M,-11.98%
AGX,Argan Inc,12/8/2025,319.31,314.91,326.75,305.3,421.62K,1.79%
